page_num,original_key,matched_text,suggestion,reason,bbox,context
234,minority,minority,underrepresented investigators,"This term is more inclusive and focuses on representation without deficit framing, suitable for academic and grant contexts.","(96.32014465332031, 250.99635314941406, 134.86915588378906, 265.69061279296875)","at MSM and TU, to persist in developing a pipeline of prospective minority investigators at TU and further expand cancer disparity research at O' Neal"
236,advocacy,advocacy.,community engagement and expanding participation,Expanding participation aligns with the context of community involvement and avoids deficit framing while emphasizing inclusive action.,"(347.0368957519531, 339.7030029296875, 396.57122802734375, 354.3972473144531)","population health, workforce development and health education initiatives, community engagement and health advocacy. A. Laboratory As a randomized controlled study of patients within primary care"
237,african american,African American,Black,The term 'Black' is widely accepted in academic and public-facing contexts as a respectful and accurate descriptor for people of African descent in the United States.,"(293.9906005859375, 271.1243591308594, 377.7843322753906, 285.818603515625)","General Population Location # Unique Patients per Year # Annual In-person Encounters African American Hispanic Caucasian System 1,414,346 3,656,591 29.7% 3.7% 54.2% OMC 632,386 1,021,798 28.3%"
240,advocacy,advocacy,community engagement and expanding participation to investigate and create solutions for the challenges we face today,"Replaces 'health advocacy' with 'expanding participation' to emphasize inclusive involvement and align with the context of community engagement, avoiding deficit framing and focusing on constructive action.","(346.9927062988281, 48.639610290527344, 393.4788818359375, 63.3338508605957)","population health, workforce development and health education initiatives, community engagement and health advocacy to investigate and create solutions for the challenges we face today. OXIHER’s"
241,barriers,barriers,challenges,"The term 'challenges' is a neutral, constructive alternative to 'barriers' and fits well in the context of addressing issues like nutrition, financial toxicity, and transportation in public-facing academic or grant text.","(243.02548217773438, 630.6443481445312, 280.3373718261719, 645.338623046875)","individuals with community-based resources that address nutrition, financial toxicity, transportation, and other barriers to optimal health. We collect data via patient reported outcomes, digital engagement,"
241,advocacy,advocacy,supporting patient engagement,"The term 'advocacy' in this context refers to efforts by patient organizations to involve and empower patients. 'Supporting patient engagement' is a clear, constructive alternative that fits public-facing academic or grant text and aligns with the focus on participation and health outcomes.","(262.0076904296875, 668.5643310546875, 308.5015563964844, 683.2586059570312)","programming. Coaching is implemented across multi-sector healthcare verticals, including employers, payors, patient advocacy organizations, and through partnerships with academic and community health care providers. Pack"
243,vulnerable,vulnerable,individuals experiencing healthcare challenges,"This phrase avoids deficit framing and clearly identifies the group based on their healthcare needs, aligning with the context and audience.","(310.54180908203125, 568.7175903320312, 361.3137512207031, 583.411865234375)","and employs community health workers to address the needs of Alabama's most vulnerable citizens. Currently, ConnectionHealth serves citizens in Jefferson County and the Black Belt"
244,advocacy,Advocacy.,supporting community engagement,"This phrase aligns with the context of client-centered counseling and referral making, emphasizing constructive involvement without deficit framing.","(226.54945373535156, 74.07576751708984, 277.30694580078125, 88.77000427246094)","6) Conflict resolution, 7) Client centered counseling, 8) Referral making, and 8) Advocacy. ConnectionHealth has been a community partner in past and ongoing trials with"
245,advocacy,advocacy,expanding participation,"In this context, 'expanding participation' aligns with the goal of involving communities more actively, which fits the public-facing academic or grant text and avoids deficit framing.","(316.4040832519531, 668.5470581054688, 362.8902587890625, 683.2413330078125)",communities. MFN provides nutrition education to clients in need and also emphasize advocacy and related needs.
245,at risk,at risk,with a higher chance of developing type 2 diabetes,"This phrase avoids deficit framing and clearly describes the population without using 'at risk,' making it suitable for public-facing academic or grant text.","(160.48373413085938, 162.6319122314453, 189.8457489013672, 177.32615661621094)","Dining with Diabetes program, a five-part educational series designed to assist adults at risk for type 2 diabetes, who are pre-diabetic, or who have diabetes to"
